(Research) arcwilbo@crc-dot1x-nat-10-239-114-160 Will_Branch % python Models/MLP.py   
Device: mps
[Epoch 001] Train: 0.007769  Val: 0.069008
[Epoch 002] Train: 0.000863  Val: 0.083315
[Epoch 003] Train: 0.000481  Val: 0.001576
[Epoch 004] Train: 0.000077  Val: 0.001961
[Epoch 005] Train: 0.000026  Val: 0.000285
[Epoch 006] Train: 0.000018  Val: 0.001177
[Epoch 007] Train: 0.000019  Val: 0.001016
[Epoch 008] Train: 0.000011  Val: 0.000634
[Epoch 009] Train: 0.000008  Val: 0.000527
[Epoch 010] Train: 0.000007  Val: 0.000505
[Epoch 001] Train: 0.009636  Val: 0.051795
[Epoch 002] Train: 0.001222  Val: 0.015711
[Epoch 003] Train: 0.000561  Val: 0.011761
[Epoch 004] Train: 0.000379  Val: 0.015585
[Epoch 005] Train: 0.000261  Val: 0.002673
[Epoch 006] Train: 0.000081  Val: 0.003128
[Epoch 007] Train: 0.000124  Val: 0.013534
[Epoch 008] Train: 0.000173  Val: 0.001299
[Epoch 009] Train: 0.000027  Val: 0.005841
[Epoch 010] Train: 0.000069  Val: 0.002594
[Epoch 001] Train: 0.007862  Val: 0.010168
[Epoch 002] Train: 0.001052  Val: 0.005407
[Epoch 003] Train: 0.000331  Val: 0.002773
[Epoch 004] Train: 0.000163  Val: 0.001096
[Epoch 005] Train: 0.000059  Val: 0.000315
[Epoch 006] Train: 0.000019  Val: 0.000121
[Epoch 007] Train: 0.000009  Val: 0.000087
[Epoch 008] Train: 0.000005  Val: 0.000051
[Epoch 009] Train: 0.000004  Val: 0.000056
[Epoch 010] Train: 0.000003  Val: 0.000072
Params: hidden=[64, 32], dropout=0.0, lr=0.001, batch=128 → 0.000545
[Epoch 001] Train: 0.016282  Val: 0.215058
[Epoch 002] Train: 0.004018  Val: 0.070468
[Epoch 003] Train: 0.001762  Val: 0.042700
[Epoch 004] Train: 0.001143  Val: 0.013939
[Epoch 005] Train: 0.000734  Val: 0.014414
[Epoch 006] Train: 0.000351  Val: 0.008038
[Epoch 007] Train: 0.000213  Val: 0.009124
[Epoch 008] Train: 0.000151  Val: 0.006664
[Epoch 009] Train: 0.000089  Val: 0.004177
[Epoch 010] Train: 0.000057  Val: 0.002686
[Epoch 001] Train: 0.042483  Val: 0.048501
[Epoch 002] Train: 0.001880  Val: 0.017151
[Epoch 003] Train: 0.000812  Val: 0.011325
[Epoch 004] Train: 0.000385  Val: 0.005961
[Epoch 005] Train: 0.000234  Val: 0.003077
[Epoch 006] Train: 0.000158  Val: 0.001774
[Epoch 007] Train: 0.000114  Val: 0.001181
[Epoch 008] Train: 0.000081  Val: 0.000950
[Epoch 009] Train: 0.000042  Val: 0.000670
[Epoch 010] Train: 0.000024  Val: 0.000417
[Epoch 001] Train: 0.074680  Val: 0.022680
[Epoch 002] Train: 0.003098  Val: 0.012662
[Epoch 003] Train: 0.001490  Val: 0.010528
[Epoch 004] Train: 0.000900  Val: 0.009518
[Epoch 005] Train: 0.000649  Val: 0.007846
[Epoch 006] Train: 0.000567  Val: 0.005506
[Epoch 007] Train: 0.000446  Val: 0.004208
[Epoch 008] Train: 0.000188  Val: 0.004136
[Epoch 009] Train: 0.000080  Val: 0.003087
[Epoch 010] Train: 0.000057  Val: 0.002115
Params: hidden=[64, 32], dropout=0.0, lr=0.001, batch=256 → 0.001739
[Epoch 001] Train: 0.021871  Val: 0.072966
[Epoch 002] Train: 0.003834  Val: 0.017503
[Epoch 003] Train: 0.001625  Val: 0.008555
[Epoch 004] Train: 0.000832  Val: 0.004747
[Epoch 005] Train: 0.000566  Val: 0.006496
[Epoch 006] Train: 0.000388  Val: 0.003525
[Epoch 007] Train: 0.000182  Val: 0.001407
[Epoch 008] Train: 0.000123  Val: 0.000984
[Epoch 009] Train: 0.000092  Val: 0.000918
[Epoch 010] Train: 0.000065  Val: 0.000382
[Epoch 001] Train: 0.014240  Val: 0.043998
[Epoch 002] Train: 0.002195  Val: 0.014920
[Epoch 003] Train: 0.001627  Val: 0.053387
[Epoch 004] Train: 0.001364  Val: 0.007284
[Epoch 005] Train: 0.000450  Val: 0.011484
[Epoch 006] Train: 0.000338  Val: 0.007908
[Epoch 007] Train: 0.000241  Val: 0.002566
[Epoch 008] Train: 0.000177  Val: 0.002018
[Epoch 009] Train: 0.000146  Val: 0.003608
[Epoch 010] Train: 0.000080  Val: 0.000544
[Epoch 001] Train: 0.012323  Val: 0.012329
[Epoch 002] Train: 0.001636  Val: 0.004739
[Epoch 003] Train: 0.000592  Val: 0.002407
[Epoch 004] Train: 0.000280  Val: 0.001021
[Epoch 005] Train: 0.000136  Val: 0.000402
[Epoch 006] Train: 0.000063  Val: 0.000154
[Epoch 007] Train: 0.000028  Val: 0.000076
[Epoch 008] Train: 0.000012  Val: 0.000065
[Epoch 009] Train: 0.000007  Val: 0.000040
[Epoch 010] Train: 0.000006  Val: 0.000037
Params: hidden=[64, 32], dropout=0.0, lr=0.0005, batch=128 → 0.000321
[Epoch 001] Train: 0.019239  Val: 0.074009
[Epoch 002] Train: 0.008258  Val: 0.048675
[Epoch 003] Train: 0.006402  Val: 0.025890
[Epoch 004] Train: 0.002802  Val: 0.008058
[Epoch 005] Train: 0.001775  Val: 0.005879
[Epoch 006] Train: 0.000977  Val: 0.013070
[Epoch 007] Train: 0.000743  Val: 0.013940
[Epoch 008] Train: 0.000588  Val: 0.015474
[Epoch 009] Train: 0.000577  Val: 0.013230
[Epoch 010] Train: 0.000445  Val: 0.008786
[Epoch 001] Train: 0.016842  Val: 0.112667
[Epoch 002] Train: 0.006463  Val: 0.053227
[Epoch 003] Train: 0.003568  Val: 0.033434
